Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
2,50,766.84,4,3,3,433,Best Customers
30,146,1452.8700000000001,3,4,3,343,Best Customers
0,280,10510.0,4,4,4,444,Best Customers
8,132,2205.63,4,4,4,444,Best Customers
116,31,485.19,2,2,2,222,Almost Lost
21,76,984.91,3,3,3,333,Best Customers
19,82,1125.0,3,3,3,333,Best Customers
238,1,30.599999999999998,1,1,1,111,Lost Customers
268,53,254.73,1,3,1,131,Lost Customers
93,55,922.39,2,3,3,233,Big Spenders
89,235,3866.33,2,4,4,244,Big Spenders
4,142,2056.29,4,4,4,444,Best Customers
77,15,259.17,2,1,1,211,Almost Lost
93,2,64.0,2,1,1,211,Almost Lost
22,46,1039.3,3,3,3,333,Best Customers
261,3,77.3,1,1,1,111,Lost Customers
273,7,109.8,1,1,1,111,Lost Customers
72,105,1740.63,2,4,4,244,Big Spenders
196,1,3096.0,1,1,4,114,Lost Customers
49,139,2545.38,3,4,4,344,Best Customers
10,705,3605.08,4,4,4,444,Best Customers
21,63,962.39,3,3,3,333,Best Customers
15,174,5055.79,4,4,4,444,Best Customers
107,46,423.72,2,3,2,232,Lost Customers
84,136,2385.8,2,4,4,244,Big Spenders
18,23,307.09,3,2,2,322,Loyal Customers
332,3,110.95,1,1,1,111,Lost Customers
39,7,614.77,3,1,2,312,Loyal Customers
25,17,228.91,3,1,1,311,Loyal Customers
9,4,712.8000000000001,4,1,3,413,Loyal Customers
28,347,3348.48,3,4,4,344,Best Customers
13,86,1676.06,4,3,4,434,Best Customers
202,75,1250.3700000000001,1,3,3,133,Big Spenders
5,15,486.22,4,1,2,412,Loyal Customers
143,1,-611.86,1,1,1,111,Lost Customers
32,85,971.76,3,3,3,333,Best Customers
48,89,1721.57,3,3,4,334,Best Customers
94,79,1201.06,2,3,3,233,Big Spenders
8,122,1379.75,4,4,3,443,Best Customers
21,4,91.8,3,1,1,311,Loyal Customers
312,8,112.75,1,1,1,111,Lost Customers
121,82,1644.99,2,3,4,234,Big Spenders
45,42,1021.48,3,2,3,323,Loyal Customers
281,42,414.7,1,2,2,122,Almost Lost
18,65,791.33,3,3,3,333,Best Customers
35,133,1310.14,3,4,3,343,Best Customers
63,13,712.88,2,1,3,213,Almost Lost
26,32,116.00999999999999,3,2,1,321,Loyal Customers
7,48,426.81,4,3,2,432,Lost Customers
3,43,353.65,4,3,2,432,Lost Customers
15,314,2817.03,4,4,4,444,Best Customers
45,72,492.84,3,3,2,332,Lost Customers
64,17,282.45,2,1,1,211,Almost Lost
25,265,5725.47,3,4,4,344,Best Customers
44,11,121.18,3,1,1,311,Loyal Customers
7,94,3957.78,4,3,4,434,Best Customers
14,183,1648.79,4,4,4,444,Best Customers
267,1,71.4,1,1,1,111,Lost Customers
39,84,1539.69,3,3,3,333,Best Customers
336,37,236.02,1,2,1,121,Lost Customers
10,2,114.60000000000001,4,1,1,411,Loyal Customers
18,29,260.68,3,2,1,321,Loyal Customers
94,63,911.94,2,3,3,233,Big Spenders
60,29,117.88,2,2,1,221,Almost Lost
135,3,60.7,2,1,1,211,Almost Lost
10,110,1797.78,4,4,4,444,Best Customers
9,229,3384.09,4,4,4,444,Best Customers
3,120,9803.96,4,4,4,444,Best Customers
18,46,870.09,3,3,3,333,Best Customers
9,57,869.46,4,3,3,433,Best Customers
14,8,250.26000000000002,4,1,1,411,Loyal Customers
58,150,1205.9,2,4,3,243,Big Spenders
29,329,5820.16,3,4,4,344,Best Customers
93,22,353.48,2,2,2,222,Almost Lost
9,56,1197.42,4,3,3,433,Best Customers
8,143,780.58,4,4,3,443,Best Customers
56,92,1518.43,2,3,3,233,Big Spenders
267,5,333.74,1,1,2,112,Lost Customers
121,7,133.62,2,1,1,211,Almost Lost
126,5,62.63999999999999,2,1,1,211,Almost Lost
77,21,819.2900000000001,2,2,3,223,Almost Lost
239,66,847.41,1,3,3,133,Big Spenders
199,5,163.20000000000002,1,1,1,111,Lost Customers
59,109,2150.85,2,4,4,244,Big Spenders
2,34,6083.04,4,2,4,424,Loyal Customers
272,16,108.21000000000001,1,1,1,111,Lost Customers
201,9,257.7,1,1,1,111,Lost Customers
80,2,358.0,2,1,2,212,Almost Lost
225,10,160.95,1,1,1,111,Lost Customers
3,612,2763.41,4,4,4,444,Best Customers
12,207,1357.6,4,4,3,443,Best Customers
73,43,605.12,2,3,2,232,Lost Customers
211,59,101.17000000000007,1,3,1,131,Lost Customers
24,39,727.27,3,2,3,323,Loyal Customers
10,32,680.83,4,2,3,423,Loyal Customers
261,22,329.56,1,2,2,122,Almost Lost
95,67,663.65,2,3,3,233,Big Spenders
111,13,270.40000000000003,2,1,1,211,Almost Lost
202,58,600.07,1,3,2,132,Lost Customers
92,27,121.74000000000001,2,2,1,221,Almost Lost
50,16,430.5,2,1,2,212,Almost Lost
17,143,1922.1,3,4,4,344,Best Customers
17,25,501.12,3,2,2,322,Loyal Customers
124,26,465.68,2,2,2,222,Almost Lost
91,23,711.41,2,2,3,223,Almost Lost
156,36,1030.4,1,2,3,123,Almost Lost
3,14,390.66,4,1,2,412,Loyal Customers
13,1,0.0,4,1,1,411,Loyal Customers
11,38,698.58,4,2,3,423,Loyal Customers
61,87,292.32,2,3,1,231,Lost Customers
60,8,557.62,2,1,2,212,Almost Lost
268,9,944.1,1,1,3,113,Lost Customers
262,11,200.29,1,1,1,111,Lost Customers
0,1677,7454.07,4,4,4,444,Best Customers
52,91,2107.66,2,3,4,234,Big Spenders
10,202,3717.67,4,4,4,444,Best Customers
2,224,4404.44,4,4,4,444,Best Customers
17,447,3167.64,3,4,4,344,Best Customers
0,320,5315.92,4,4,4,444,Best Customers
365,1,590.0,1,1,2,112,Lost Customers
36,101,178.26,3,3,1,331,Lost Customers
30,15,276.56,3,1,1,311,Loyal Customers
112,16,138.98,2,1,1,211,Almost Lost
63,30,590.9300000000001,2,2,2,222,Almost Lost
15,8,258.4,4,1,1,411,Loyal Customers
40,46,542.73,3,3,2,332,Lost Customers
63,11,126.30000000000001,2,1,1,211,Almost Lost
121,85,814.86,2,3,3,233,Big Spenders
17,40,1047.8400000000001,3,2,3,323,Loyal Customers
59,7,93.66,2,1,1,211,Almost Lost
322,14,196.15,1,1,1,111,Lost Customers
22,187,2709.12,3,4,4,344,Best Customers
155,42,361.11,1,2,2,122,Almost Lost
38,31,578.9399999999999,3,2,2,322,Loyal Customers
189,54,873.74,1,3,3,133,Big Spenders
359,11,197.95000000000002,1,1,1,111,Lost Customers
136,5,87.4,2,1,1,211,Almost Lost
7,59,2089.85,4,3,4,434,Best Customers
0,2,360.0,4,1,2,412,Loyal Customers
267,5,142.5,1,1,1,111,Lost Customers
164,22,365.29,1,2,2,122,Almost Lost
103,81,618.09,2,3,2,232,Lost Customers
154,1,63.75,1,1,1,111,Lost Customers
350,21,300.42,1,2,2,122,Almost Lost
3,81,2000.86,4,3,4,434,Best Customers
119,1,15.0,2,1,1,211,Almost Lost
22,57,1367.6100000000001,3,3,3,333,Best Customers
6,107,1456.79,4,4,3,443,Best Customers
8,77,1083.63,4,3,3,433,Best Customers
3,26,598.57,4,2,2,422,Loyal Customers
21,78,1555.32,3,3,3,333,Best Customers
1,75,578.66,4,3,2,432,Lost Customers
36,88,5815.49,3,3,4,334,Best Customers
63,135,2140.07,2,4,4,244,Big Spenders
0,20,640.76,4,2,2,422,Loyal Customers
4,500,10664.34,4,4,4,444,Best Customers
69,110,1491.7,2,4,3,243,Big Spenders
71,11,567.36,2,1,2,212,Almost Lost
16,25,199.48000000000002,4,2,1,421,Loyal Customers
2,21,787.85,4,2,3,423,Loyal Customers
31,77,7072.8,3,3,4,334,Best Customers
81,12,675.3,2,1,3,213,Almost Lost
38,109,3617.57,3,4,4,344,Best Customers
315,17,1308.48,1,1,3,113,Lost Customers
31,19,740.4,3,2,3,323,Loyal Customers
92,53,1140.93,2,3,3,233,Big Spenders
13,21,350.9,4,2,2,422,Loyal Customers
81,268,3536.82,2,4,4,244,Big Spenders
76,51,795.12,2,3,3,233,Big Spenders
153,24,431.82,1,2,2,122,Almost Lost
200,54,860.12,1,3,3,133,Big Spenders
44,134,10736.48,3,4,4,344,Best Customers
260,42,775.85,1,2,3,123,Almost Lost
172,22,303.93,1,2,2,122,Almost Lost
67,119,2543.72,2,4,4,244,Big Spenders
276,22,377.6,1,2,2,122,Almost Lost
69,8,341.36,2,1,2,212,Almost Lost
63,14,233.76,2,1,1,211,Almost Lost
10,16,247.32,4,1,1,411,Loyal Customers
15,43,910.72,4,3,3,433,Best Customers
65,16,373.94,2,1,2,212,Almost Lost
7,27,389.28,4,2,2,422,Loyal Customers
70,51,743.53,2,3,3,233,Big Spenders
121,32,674.7,2,2,3,223,Almost Lost
79,42,768.24,2,2,3,223,Almost Lost
256,90,609.95,1,3,2,132,Lost Customers
268,29,439.03,1,2,2,122,Almost Lost
58,24,431.26,2,2,2,222,Almost Lost
2,169,3085.4900000000002,4,4,4,444,Best Customers
17,60,992.5,3,3,3,333,Best Customers
66,20,0.0,2,2,1,221,Almost Lost
8,132,2191.22,4,4,4,444,Best Customers
49,1,56.160000000000004,3,1,1,311,Loyal Customers
256,29,623.4,1,2,2,122,Almost Lost
353,19,263.75,1,2,1,121,Lost Customers
365,44,721.32,1,3,3,133,Big Spenders
89,23,378.64,2,2,2,222,Almost Lost
60,158,3312.25,2,4,4,244,Big Spenders
80,38,772.9,2,2,3,223,Almost Lost
98,53,1019.76,2,3,3,233,Big Spenders
25,97,572.56,3,3,2,332,Lost Customers
20,173,3626.81,3,4,4,344,Best Customers
280,15,222.99,1,1,1,111,Lost Customers
30,155,4122.28,3,4,4,344,Best Customers
329,35,534.57,1,2,2,122,Almost Lost
120,36,627.15,2,2,2,222,Almost Lost
10,51,797.96,4,3,3,433,Best Customers
74,13,544.08,2,1,2,212,Almost Lost
203,1,59.8,1,1,1,111,Lost Customers
1,164,2312.8,4,4,4,444,Best Customers
184,21,307.72,1,2,2,122,Almost Lost
21,47,1325.29,3,3,3,333,Best Customers
72,39,1539.18,2,2,3,223,Almost Lost
191,26,457.34,1,2,2,122,Almost Lost
126,39,621.23,2,2,2,222,Almost Lost
17,3,75.0,3,1,1,311,Loyal Customers
0,11,252.49,4,1,1,411,Loyal Customers
73,27,572.451,2,2,2,222,Almost Lost
1,501,27487.41,4,4,4,444,Best Customers
8,30,988.91,4,2,3,423,Loyal Customers
106,18,213.55,2,2,1,221,Almost Lost
133,24,1390.5,2,2,3,223,Almost Lost
43,19,712.5,3,2,3,323,Loyal Customers
4,28,640.83,4,2,2,422,Loyal Customers
11,314,5845.44,4,4,4,444,Best Customers
63,16,221.06,2,1,1,211,Almost Lost
134,10,140.35,2,1,1,211,Almost Lost
39,105,1848.98,3,4,4,344,Best Customers
50,128,2601.55,2,4,4,244,Big Spenders
107,78,1624.21,2,3,4,234,Big Spenders
0,159,3550.7000000000003,4,4,4,444,Best Customers
18,29,582.6,3,2,2,322,Loyal Customers
9,74,218.47,4,3,1,431,Lost Customers
10,67,1006.8,4,3,3,433,Best Customers
18,54,648.6899999999999,3,3,3,333,Best Customers
66,46,1269.1,2,3,3,233,Big Spenders
73,10,534.24,2,1,2,212,Almost Lost
4,103,3794.4900000000002,4,4,4,444,Best Customers
1,12,196.89,4,1,1,411,Loyal Customers
13,167,3408.06,4,4,4,444,Best Customers
254,54,283.71,1,3,1,131,Lost Customers
91,13,296.64,2,1,2,212,Almost Lost
22,62,1104.23,3,3,3,333,Best Customers
16,199,3465.67,4,4,4,444,Best Customers
23,19,291.88,3,2,1,321,Loyal Customers
26,71,2043.7199999999998,3,3,4,334,Best Customers
25,444,2916.45,3,4,4,344,Best Customers
258,2,590.0,1,1,2,112,Lost Customers
165,17,356.97999999999996,1,1,2,112,Lost Customers
24,53,1007.35,3,3,3,333,Best Customers
17,65,1737.8200000000002,3,3,4,334,Best Customers
6,394,9537.92,4,4,4,444,Best Customers
28,17,183.44,3,1,1,311,Loyal Customers
38,27,1445.0,3,2,3,323,Loyal Customers
182,10,143.25,1,1,1,111,Lost Customers
57,41,674.68,2,2,3,223,Almost Lost
99,18,297.95,2,2,2,222,Almost Lost
10,99,1083.71,4,3,3,433,Best Customers
1,306,5656.75,4,4,4,444,Best Customers
98,10,165.0,2,1,1,211,Almost Lost
0,260,2531.58,4,4,4,444,Best Customers
60,22,417.54,2,2,2,222,Almost Lost
235,64,229.59,1,3,1,131,Lost Customers
190,86,1431.78,1,3,3,133,Big Spenders
178,61,1092.77,1,3,3,133,Big Spenders
37,81,1441.53,3,3,3,333,Best Customers
197,16,291.0,1,1,1,111,Lost Customers
45,112,1776.81,3,4,4,344,Best Customers
231,11,184.64,1,1,1,111,Lost Customers
65,10,140.34,2,1,1,211,Almost Lost
240,8,313.8,1,1,2,112,Lost Customers
232,23,454.24,1,2,2,122,Almost Lost
77,69,1122.41,2,3,3,233,Big Spenders
57,34,575.4,2,2,2,222,Almost Lost
16,427,8910.61,4,4,4,444,Best Customers
104,14,449.52,2,1,2,212,Almost Lost
51,86,1215.82,2,3,3,233,Big Spenders
135,50,1269.84,2,3,3,233,Big Spenders
274,8,618.63,1,1,2,112,Lost Customers
311,18,316.26000000000005,1,2,2,122,Almost Lost
7,52,1990.1200000000001,4,3,4,434,Best Customers
10,36,617.93,4,2,2,422,Loyal Customers
282,20,321.05,1,2,2,122,Almost Lost
17,45,1146.96,3,3,3,333,Best Customers
22,67,1136.77,3,3,3,333,Best Customers
242,53,1310.47,1,3,3,133,Big Spenders
16,18,292.0,4,2,1,421,Loyal Customers
70,17,216.85,2,1,1,211,Almost Lost
63,22,295.93,2,2,2,222,Almost Lost
67,227,4282.88,2,4,4,244,Big Spenders
311,29,452.82,1,2,2,122,Almost Lost
2,162,2479.16,4,4,4,444,Best Customers
243,12,110.97,1,1,1,111,Lost Customers
8,44,979.72,4,3,3,433,Best Customers
0,117,1785.16,4,4,4,444,Best Customers
260,15,251.21,1,1,1,111,Lost Customers
126,10,205.1,2,1,1,211,Almost Lost
73,4,152.20000000000002,2,1,1,211,Almost Lost
72,59,891.12,2,3,3,233,Big Spenders
20,44,1389.41,3,3,3,333,Best Customers
59,143,2109.07,2,4,4,244,Big Spenders
85,38,659.4399999999999,2,2,3,223,Almost Lost
49,9,110.80000000000001,3,1,1,311,Loyal Customers
58,95,3487.75,2,3,4,234,Big Spenders
0,436,1093.65,4,4,3,443,Best Customers
29,5,125.80000000000001,3,1,1,311,Loyal Customers
32,177,3755.38,3,4,4,344,Best Customers
40,27,680.1800000000001,3,2,3,323,Loyal Customers
14,6,628.78,4,1,2,412,Loyal Customers
33,224,2263.76,3,4,4,344,Best Customers
78,15,307.76,2,1,2,212,Almost Lost
204,22,483.8,1,2,2,122,Almost Lost
33,66,210.31,3,3,1,331,Lost Customers
182,76,270.79,1,3,1,131,Lost Customers
1,342,5613.08,4,4,4,444,Best Customers
0,179,3448.29,4,4,4,444,Best Customers
42,25,1280.85,3,2,3,323,Loyal Customers
85,38,605.84,2,2,2,222,Almost Lost
39,87,291.41,3,3,1,331,Lost Customers
11,98,626.99,4,3,2,432,Lost Customers
95,124,682.41,2,4,3,243,Big Spenders
25,52,916.12,3,3,3,333,Best Customers
318,4,91.80000000000001,1,1,1,111,Lost Customers
65,121,3539.53,2,4,4,244,Big Spenders
73,136,4149.28,2,4,4,244,Big Spenders
27,34,584.06,3,2,2,322,Loyal Customers
5,175,605.06,4,4,2,442,Lost Customers
6,33,174.37,4,2,1,421,Loyal Customers
215,14,141.85999999999999,1,1,1,111,Lost Customers
81,82,1799.33,2,3,4,234,Big Spenders
83,49,777.53,2,3,3,233,Big Spenders
143,85,647.74,1,3,2,132,Lost Customers
18,38,240.22,3,2,1,321,Loyal Customers
40,176,874.71,3,4,3,343,Best Customers
172,44,192.85,1,3,1,131,Lost Customers
16,85,373.75,4,3,2,432,Lost Customers
242,27,239.49,1,2,1,121,Lost Customers
12,341,2092.32,4,4,4,444,Best Customers
205,33,1384.25,1,2,3,123,Almost Lost
49,26,294.4,3,2,2,322,Loyal Customers
22,46,732.0699999999999,3,3,3,333,Best Customers
9,130,6703.3,4,4,4,444,Best Customers
24,85,1658.3,3,3,4,334,Best Customers
14,23,467.04,4,2,2,422,Loyal Customers
308,10,118.0,1,1,1,111,Lost Customers
155,53,781.03,1,3,3,133,Big Spenders
306,24,142.4,1,2,1,121,Lost Customers
31,11,347.0,3,1,2,312,Loyal Customers
15,180,2445.12,4,4,4,444,Best Customers
14,21,379.65,4,2,2,422,Loyal Customers
10,89,1976.12,4,3,4,434,Best Customers
64,58,1117.13,2,3,3,233,Big Spenders
35,16,247.95999999999998,3,1,1,311,Loyal Customers
107,129,1990.28,2,4,4,244,Big Spenders
52,26,396.97,2,2,2,222,Almost Lost
5,166,697.04,4,4,3,443,Best Customers
46,41,167.42000000000002,3,2,1,321,Loyal Customers
0,264,5030.6,4,4,4,444,Best Customers
311,19,219.52,1,2,1,121,Lost Customers
44,99,693.32,3,3,3,333,Best Customers
64,23,428.89,2,2,2,222,Almost Lost
25,27,164.34,3,2,1,321,Loyal Customers
28,43,280.53999999999996,3,3,1,331,Lost Customers
39,98,678.01,3,3,3,333,Best Customers
11,228,1115.43,4,4,3,443,Best Customers
88,76,1158.2,2,3,3,233,Big Spenders
23,201,1610.46,3,4,3,343,Best Customers
312,24,399.99,1,2,2,122,Almost Lost
39,44,544.18,3,3,2,332,Lost Customers
173,13,177.34,1,1,1,111,Lost Customers
116,19,213.85,2,2,1,221,Almost Lost
30,86,672.44,3,3,3,333,Best Customers
252,19,257.23,1,2,1,121,Lost Customers
58,94,1624.02,2,3,4,234,Big Spenders
22,59,7792.36,3,3,4,334,Best Customers
4,80,1995.68,4,3,4,434,Best Customers
99,12,3021.77,2,1,4,214,Almost Lost
24,147,2117.02,3,4,4,344,Best Customers
32,188,1575.16,3,4,3,343,Best Customers
67,62,1071.03,2,3,3,233,Big Spenders
36,64,941.62,3,3,3,333,Best Customers
51,101,810.5,2,3,3,233,Big Spenders
15,8,122.64,4,1,1,411,Loyal Customers
73,40,1033.34,2,2,3,223,Almost Lost
215,66,354.8,1,3,2,132,Lost Customers
30,28,519.44,3,2,2,322,Loyal Customers
8,148,2597.52,4,4,4,444,Best Customers
119,5,252.1,2,1,1,211,Almost Lost
9,80,1670.22,4,3,4,434,Best Customers
256,23,346.6,1,2,2,122,Almost Lost
16,98,1809.34,4,3,4,434,Best Customers
34,6,94.2,3,1,1,311,Loyal Customers
45,63,1095.08,3,3,3,333,Best Customers
42,166,2707.33,3,4,4,344,Best Customers
113,56,932.97,2,3,3,233,Big Spenders
164,49,379.65,1,3,2,132,Lost Customers
10,16,382.14,4,1,2,412,Loyal Customers
9,112,2421.47,4,4,4,444,Best Customers
196,108,1550.85,1,4,3,143,Big Spenders
85,58,879.08,2,3,3,233,Big Spenders
178,13,189.47,1,1,1,111,Lost Customers
59,12,84.65,2,1,1,211,Almost Lost
148,87,305.02,1,3,2,132,Lost Customers
2,501,6216.07,4,4,4,444,Best Customers
50,9,218.55,2,1,1,211,Almost Lost
74,25,349.7,2,2,2,222,Almost Lost
300,16,-71.46,1,1,1,111,Lost Customers
18,65,396.92,3,3,2,332,Lost Customers
150,25,486.82000000000005,1,2,2,122,Almost Lost
151,16,232.6,1,1,1,111,Lost Customers
0,216,2202.31,4,4,4,444,Best Customers
17,57,827.83,3,3,3,333,Best Customers
186,3,59.5,1,1,1,111,Lost Customers
285,31,64.23,1,2,1,121,Lost Customers
2,39,3119.44,4,2,4,424,Loyal Customers
182,8,72.0,1,1,1,111,Lost Customers
62,6,910.0,2,1,3,213,Almost Lost
58,9,172.25,2,1,1,211,Almost Lost
24,55,1466.8700000000001,3,3,3,333,Best Customers
324,4,-32.0,1,1,1,111,Lost Customers
3,585,62653.1,4,4,4,444,Best Customers
30,90,2504.13,3,3,4,334,Best Customers
38,12,151.29999999999998,3,1,1,311,Loyal Customers
154,14,308.58000000000004,1,1,2,112,Lost Customers
25,197,2265.12,3,4,4,344,Best Customers
317,1,99.5,1,1,1,111,Lost Customers
4,135,2295.31,4,4,4,444,Best Customers
7,28,711.86,4,2,3,423,Loyal Customers
302,20,330.79,1,2,2,122,Almost Lost
266,48,806.41,1,3,3,133,Big Spenders
270,51,296.88,1,3,2,132,Lost Customers
3,346,6249.110000000001,4,4,4,444,Best Customers
31,8,180.48,3,1,1,311,Loyal Customers
218,13,252.06,1,1,1,111,Lost Customers
246,10,228.84,1,1,1,111,Lost Customers
280,108,1053.94,1,4,3,143,Big Spenders
268,21,138.28,1,2,1,121,Lost Customers
31,103,1432.26,3,4,3,343,Best Customers
245,12,306.55,1,1,2,112,Lost Customers
14,60,1041.68,4,3,3,433,Best Customers
116,43,799.9,2,3,3,233,Big Spenders
35,28,524.14,3,2,2,322,Loyal Customers
119,86,2369.16,2,3,4,234,Big Spenders
216,6,199.85000000000002,1,1,1,111,Lost Customers
49,118,1809.81,3,4,4,344,Best Customers
38,42,1079.6599999999999,3,2,3,323,Loyal Customers
28,20,333.48,3,2,2,322,Loyal Customers
36,63,1016.14,3,3,3,333,Best Customers
135,43,752.6,2,3,3,233,Big Spenders
218,38,610.59,1,2,2,122,Almost Lost
27,33,491.86,3,2,2,322,Loyal Customers
24,208,2766.18,3,4,4,344,Best Customers
4,194,724.0,4,4,3,443,Best Customers
199,30,339.59999999999997,1,2,2,122,Almost Lost
17,3,216.9,3,1,1,311,Loyal Customers
240,23,350.75,1,2,2,122,Almost Lost
71,35,666.33,2,2,3,223,Almost Lost
16,323,3102.42,4,4,4,444,Best Customers
2,42,1340.1499999999999,4,2,3,423,Loyal Customers
94,72,1156.36,2,3,3,233,Big Spenders
150,26,291.54,1,2,1,121,Lost Customers
373,1,79.6,1,1,1,111,Lost Customers
95,28,948.25,2,2,3,223,Almost Lost
53,24,1647.26,2,2,4,224,Almost Lost
287,9,296.25,1,1,2,112,Lost Customers
123,76,1186.28,2,3,3,233,Big Spenders
287,35,741.26,1,2,3,123,Almost Lost
151,12,282.59999999999997,1,1,1,111,Lost Customers
3,343,2154.68,4,4,4,444,Best Customers
1,143,5145.12,4,4,4,444,Best Customers
11,117,3190.55,4,4,4,444,Best Customers
32,25,659.4100000000001,3,2,3,323,Loyal Customers
53,57,286.79,2,3,1,231,Lost Customers
49,70,1070.65,3,3,3,333,Best Customers
203,14,3.552713678800501e-15,1,1,1,111,Lost Customers
62,17,1689.46,2,1,4,214,Almost Lost
70,208,1521.76,2,4,3,243,Big Spenders
1,399,16945.71,4,4,4,444,Best Customers
1,143,2771.87,4,4,4,444,Best Customers
63,120,2631.7,2,4,4,244,Big Spenders
33,177,1132.13,3,4,3,343,Best Customers
81,22,345.0,2,2,2,222,Almost Lost
0,219,25748.350000000002,4,4,4,444,Best Customers
102,9,178.7,2,1,1,211,Almost Lost
6,57,360.01,4,3,2,432,Lost Customers
250,17,127.84,1,1,1,111,Lost Customers
12,115,912.0,4,4,3,443,Best Customers
9,31,2462.79,4,2,4,424,Loyal Customers
366,7,230.39999999999998,1,1,1,111,Lost Customers
75,31,309.04,2,2,2,222,Almost Lost
3,45,348.8,4,3,2,432,Lost Customers
42,17,1047.68,3,1,3,313,Loyal Customers
65,13,195.55,2,1,1,211,Almost Lost
0,439,36351.42,4,4,4,444,Best Customers
116,39,688.86,2,2,3,223,Almost Lost
309,33,558.32,1,2,2,122,Almost Lost
66,23,324.8,2,2,2,222,Almost Lost
137,66,3906.27,2,3,4,234,Big Spenders
254,17,277.07,1,1,1,111,Lost Customers
30,137,2635.79,3,4,4,344,Best Customers
51,13,924.6,2,1,3,213,Almost Lost
63,10,256.38,2,1,1,211,Almost Lost
366,7,112.6,1,1,1,111,Lost Customers
5,76,1747.66,4,3,4,434,Best Customers
304,12,155.05,1,1,1,111,Lost Customers
28,36,899.51,3,2,3,323,Loyal Customers
183,14,591.75,1,1,2,112,Lost Customers
41,36,539.0,3,2,2,322,Loyal Customers
39,71,1353.41,3,3,3,333,Best Customers
55,58,1562.12,2,3,3,233,Big Spenders
21,177,4014.91,3,4,4,344,Best Customers
23,33,555.04,3,2,2,322,Loyal Customers
28,24,382.98,3,2,2,322,Loyal Customers
301,36,1140.35,1,2,3,123,Almost Lost
144,59,385.64,1,3,2,132,Lost Customers
5,96,632.0,4,3,2,432,Lost Customers
18,40,957.66,3,2,3,323,Loyal Customers
32,46,1698.94,3,3,4,334,Best Customers
157,12,174.65,1,1,1,111,Lost Customers
57,93,412.05,2,3,2,232,Lost Customers
21,15,209.49,3,1,1,311,Loyal Customers
358,1,-102.0,1,1,1,111,Lost Customers
15,74,2202.99,4,3,4,434,Best Customers
17,4,40.949999999999996,3,1,1,311,Loyal Customers
158,29,384.8,1,2,2,122,Almost Lost
24,55,834.57,3,3,3,333,Best Customers
211,19,271.24,1,2,1,121,Lost Customers
5,174,691.73,4,4,3,443,Best Customers
252,1,85.0,1,1,1,111,Lost Customers
58,206,3385.62,2,4,4,244,Big Spenders
10,20,361.62,4,2,2,422,Loyal Customers
64,9,312.98,2,1,2,212,Almost Lost
24,58,847.61,3,3,3,333,Best Customers
91,5,1255.0,2,1,3,213,Almost Lost
51,101,1537.95,2,3,3,233,Big Spenders
87,94,1586.81,2,3,3,233,Big Spenders
95,81,2651.46,2,3,4,234,Big Spenders
8,24,1056.94,4,2,3,423,Loyal Customers
8,114,8025.0199999999995,4,4,4,444,Best Customers
168,17,363.4,1,1,2,112,Lost Customers
56,11,216.17,2,1,1,211,Almost Lost
325,28,201.16,1,2,1,121,Lost Customers
0,77,1240.0,4,3,3,433,Best Customers
17,142,2187.31,3,4,4,344,Best Customers
244,22,299.56,1,2,2,122,Almost Lost
57,30,501.56,2,2,2,222,Almost Lost
73,7,145.67000000000002,2,1,1,211,Almost Lost
30,61,1015.29,3,3,3,333,Best Customers
6,33,3192.54,4,2,4,424,Loyal Customers
122,307,3104.95,2,4,4,244,Big Spenders
1,118,2751.25,4,4,4,444,Best Customers
22,338,6389.8,3,4,4,344,Best Customers
119,24,381.7,2,2,2,222,Almost Lost
357,18,540.45,1,2,2,122,Almost Lost
53,104,1786.79,2,4,4,244,Big Spenders
63,7,122.7,2,1,1,211,Almost Lost
85,3,117.24,2,1,1,211,Almost Lost
54,36,1281.53,2,2,3,223,Almost Lost
20,165,3219.77,3,4,4,344,Best Customers
3,180,16989.52,4,4,4,444,Best Customers
2,66,1131.28,4,3,3,433,Best Customers
0,155,2538.75,4,4,4,444,Best Customers
6,60,781.3000000000001,4,3,3,433,Best Customers
188,28,506.8,1,2,2,122,Almost Lost
70,16,243.56,2,1,1,211,Almost Lost
203,19,349.55,1,2,2,122,Almost Lost
119,40,605.63,2,2,2,222,Almost Lost
92,15,416.90000000000003,2,1,2,212,Almost Lost
0,114,1860.8600000000001,4,4,4,444,Best Customers
26,27,632.97,3,2,2,322,Loyal Customers
297,21,821.1,1,2,3,123,Almost Lost
21,30,535.97,3,2,2,322,Loyal Customers
20,119,2588.12,3,4,4,344,Best Customers
49,17,311.16,3,1,2,312,Loyal Customers
325,12,155.93,1,1,1,111,Lost Customers
15,19,388.52,4,2,2,422,Loyal Customers
182,43,740.95,1,3,3,133,Big Spenders
71,149,2867.2,2,4,4,244,Big Spenders
36,26,332.64,3,2,2,322,Loyal Customers
79,126,2347.05,2,4,4,244,Big Spenders
56,148,2580.91,2,4,4,244,Big Spenders
3,34,613.95,4,2,2,422,Loyal Customers
49,18,272.04,3,2,1,321,Loyal Customers
49,30,1212.8400000000001,3,2,3,323,Loyal Customers
52,33,350.15999999999997,2,2,2,222,Almost Lost
351,7,172.25,1,1,1,111,Lost Customers
53,20,351.13,2,2,2,222,Almost Lost
1,137,1682.08,4,4,4,444,Best Customers
